Name,Studio,Genre,Score,Ranked,Popularity,Members
Kaguya-sama wa Kokurasetai: Ultra Romantic,A-1 Pictures,Comedy,9.14,1,587851,301
Fullmetal Alchemist: Brotherhood,Bones,Action,9.13,2,2928714,3
Gintama°,Bandai Namco Pictures,Action,9.08,3,544152,338
Steins;Gate,White Fox,Drama,9.08,4,2266720,13
Shingeki no Kyojin Season 3 Part 2,Wit Studio,Action,9.07,5,1878186,28
Gintama',Sunrise,Action,9.05,6,479491,381
Hunter x Hunter (2011),Madhouse,Action,9.05,7,2415228,10
Gintama': Enchousen,Sunrise,Action,9.04,8,285564,698
Gintama: The Final,Bandai Namco Pictures,Action,9.04,9,107114,1684
Fruits Basket: The Final,TMS Entertainment,Drama,9.03,10,360594,523
Ginga Eiyuu Densetsu,Kitty Film Mitaka Studio,Drama,9.03,11,283202,704
Gintama.,Bandai Namco Pictures,Action,8.99,12,272258,736
3-gatsu no Lion 2nd Season,Shaft,Drama,8.95,13,356213,531
Gintama,Sunrise,Action,8.95,14,953661,131
Koe no Katachi,Kyoto Animation,Drama,8.95,15,1998389,18
Clannad: After Story,Kyoto Animation,Drama,8.94,16,1089307,106
Violet Evergarden Movie,Kyoto Animation,Drama,8.94,17,454312,405
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Sunrise,Action,8.93,18,212633,941
Code Geass: Hangyaku no Lelouch R2,Sunrise,Action,8.91,19,1586126,47
Owarimonogatari 2nd Season,Shaft,Comedy,8.9,20,352896,538
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Bandai Namco Pictures,Action,8.88,21,166828,1193
Kimetsu no Yaiba: Yuukaku-hen,ufotable,Action,8.86,22,933077,139
Kimi no Na wa.,CoMix Wave Films,Drama,8.86,23,2389118,11
Monster,Madhouse,Drama,8.84,24,871545,153
Shingeki no Kyojin: The Final Season,MAPPA,Action,8.83,25,1626008,44
Spy x Family,Wit Studio,Action,8.83,26,911493,145
Shingeki no Kyojin: The Final Season Part 2,MAPPA,Action,8.82,27,901520,147
Kingdom 3rd Season,Pierrot,Action,8.82,28,72871,2166
Gintama.: Shirogane no Tamashii-hen,Bandai Namco Pictures,Action,8.81,29,180647,1093
Mob Psycho 100 II,Bones,Action,8.81,30,1258981,83
Kingdom 4th Season,Pierrot,Action,8.8,31,32089,3405
Kizumonogatari III: Reiketsu-hen,Shaft,Action,8.8,32,408326,460
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Production I.G,Sports,8.79,33,1050525,112
Shiguang Dailiren,Studio LAN,Drama,8.79,34,221175,905
Sen to Chihiro no Kamikakushi,Studio Ghibli,Adventure,8.78,35,1631116,43
Monogatari Series: Second Season,Shaft,Comedy,8.77,36,615672,276
Made in Abyss: Retsujitsu no Ougonkyou,Kinema Citrus,Adventure,8.77,37,212209,944
Cowboy Bebop,Sunrise,Action,8.76,38,1636250,42
Hajime no Ippo,Madhouse,Sports,8.75,39,488661,374
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Studio Deen,Drama,8.75,40,171066,1158
Mushishi Zoku Shou 2nd Season,Artland,Adventure,8.74,41,239092,832
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Studio Bind,Drama,8.73,42,618645,275
Odd Taxi,OLM,Mystery,8.73,43,320652,608
Vinland Saga,Wit Studio,Action,8.73,44,1127429,99
